	Kategorie	Nummer	Bezeichnung Kategorie	Anmerkungen	Zuordnung unsicher		mehrdeutig		diskutieren!		Kontext (SteA-Text)
asphaltfräse	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Kenntnisse im Umgang mit einer Asphaltfräse werden erwartet.
autokran	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Sie sind verantwortlich für die gesamte Abwicklung sämtlicher Aktivitäten hinsichtlich der Einsatzplanung unserer Autokräne und LKW¿s.  Reparaturarbeitern von Schwertransportern, Autokranen und Spezialfahrzeugen
autokrane	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Land- und Baumaschinen, Autokrane oder Gabelstapler.    Land- und Baumaschinen, Autokrane oder Gabelstapler.
bagger	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								NA
baggerlader	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Führen von Mobilbagger, Radlader, Minibagger und Baggerlader
baukräne	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Die auszuführende spezielle Elektrik von Baukränen und Baumaschinen ist für einen gelernten Elektriker schnell erlernbar und wird entsprechend angelernt.
baustoffkran	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Erfahrung im Umgang mit Baustoffkran - kann auch angelernt werden
brückenkran	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								NA
brückenkräne	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								das Bedienen von Brückenkränen und Flurförderzeugen
case-maschinen	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Kenntnisse in Case-Maschinen von Vorteil
caterpillar	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Führen eines Radladers (Caterpillar)
düngemaschine	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Traktoren, Düngemaschinen oder Pflüge, bei denen häufig Metall oder Kunststoffteile zu reparieren sind.
feuerwehrfahrzeug	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Unser erfolgreich geführtes Unternehmen gehört zu den bedeutendsten Herstellern von Feuerwehrfahrzeugen und -geräten in Europa.  Unser erfolgreich geführtes Unternehmen gehört zu den bedeutendsten Herstellern von Feuerwehrfahrzeugen und -geräten in Europa.  Unser erfolgreich geführtes Unternehmen gehört zu den bedeutendsten Herstellern von Feuerwehrfahrzeugen und -geräten in Europa.  Unser erfolgreich geführtes Unternehmen gehört zu den bedeutendsten Herstellern von Feuerwehrfahrzeugen und -geräten in Europa.
flurf<f6>derfahrzeug	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								NA
flurf<f6>rder-zeug	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								NA
flurföderfahrzeug	(7E) angetriebene Hebehilfe, Lastenaufzug, Stapler	(7E)	angetriebene Hebehilfe, Lastenaufzug, Stapler								Sie verfügen über Erfahrung im Umgang mit Flurföderfahrzeugen und besitzten Kenntnisse im Umgang mit Scannern und dem PC.
flurförderfahrzeug	(7E) angetriebene Hebehilfe, Lastenaufzug, Stapler	(7E)	angetriebene Hebehilfe, Lastenaufzug, Stapler								NA
flurförderfahrzeuge	(7E) angetriebene Hebehilfe, Lastenaufzug, Stapler	(7E)	angetriebene Hebehilfe, Lastenaufzug, Stapler								NA
flurfördergerät	(7E) angetriebene Hebehilfe, Lastenaufzug, Stapler	(7E)	angetriebene Hebehilfe, Lastenaufzug, Stapler								Sie bringen (erste) Berufserfahrung im Bereich Lager- / Logistik mit insbesondere in den Bereichen KOMMISSIONIERUNG und im Umgang einer Ameise (Flurfördergerät)
flurförderzeug	(7E) angetriebene Hebehilfe, Lastenaufzug, Stapler	(7E)	angetriebene Hebehilfe, Lastenaufzug, Stapler								NA
flurförder-zeug	(7E) angetriebene Hebehilfe, Lastenaufzug, Stapler	(7E)	angetriebene Hebehilfe, Lastenaufzug, Stapler								Unsere Kunden sind z. B. Hersteller von Landmaschinen, Baumaschinen und Flurförder-zeugen.
frontlader	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Erfahrung im Bereich Frontlader und Absetzkipper wäre wünschenswert.
großflächenrasenmäher	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Fertigkeiten und Kenntnisse im Umgang mit Großflächenrasenmähern etc.
hallenkran	(7E) angetriebene Hebehilfe, Lastenaufzug, Stapler	(7E)	angetriebene Hebehilfe, Lastenaufzug, Stapler								Erfahrung im Umgang mit einem Hallenkran
hallenkräne	(7E) angetriebene Hebehilfe, Lastenaufzug, Stapler	(7E)	angetriebene Hebehilfe, Lastenaufzug, Stapler								Kenntnisse im Umgang mit Hallenkränen wären von Vorteil.  Wir suchen für einen Kunden in Raum Vreden Maschinenbediener (m/w) Der Mitarbeiter (m/w) wird dort an Stanzen, Pressen und Hallenkränen eingesetzt.
heuwender	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Heuernte mit Heuwender und Ladewagen
hofladern	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								NA
hydraulikbagger	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								mehrjährige Einsatzerfahrung mit Hydraulikbaggern und Baumaschinen im Erdbau, Recycling oder Abbruch
kanalspülfahrzeug	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Kenntnisse im Umgang mit Kanalspülfahrzeugen von Vorteil
kehrmaschine	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Neben Pkw wird hauptsächlich an unterschiedlichen Nutzfahrzeugen (Müllfahrzeuge, Kehrmaschinen, Unimog, Saug- und Hochdruckspülfahrzeuge) sowie an Fahrzeugen mit Sonderaufbauten (Steuer- und Regeltechnik) gearbeitet.  Elektronik, Elektrik, Hydraulik von Kehrmaschinen
kettenbagger	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								NA
kipper	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								NA
kipperfahrzeug	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Zwingende Voraussetzung ist der LKW-Führerschein Klasse CE sowie Erfahrungen mit Kipperfahrzeugen und Sattelzügen.
kipperverkehr-2-achser	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Für Bewerber mit Kenntnissen im Kipperverkehr-2-Achser, 3-Achser sowie 4-Achser besteht die Möglichkeit des Einsatzes im Nahverkehr
kippfahrzeug	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Erfahrung mit Silofahrzeugen ist Voraussetzung, Erfahrung mit Kippfahrzeugen und Baumaschinen von Vorteil.
kipplaster	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Sie haben Erfahrung im Umgang mit Kipplastern?(nicht
kippsattelzug	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Gesucht werden Kraftfahrer/innen für den nationalen bzw. internationalen Fernverkehr auf Sattelzügen, Glasinnenladern, Planenzügen sowie Kippsattelzügen.
klammerstapler	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Vorteilhaft ist Übung mit Frontstapler oder Hochregal, Schubmaststapler oder Klammerstapler
kleinbagger	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								NA
kleinkran	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Neben den berufsüblichen Tätigkeiten (Mauern, Verfugen, Trockenbau usw.) wäre es von Vorteil, wenn Sie Erfahrung im Umgang mit Baugeräten (Lkw, Radlader, Bagger, Kleinkran) mitbringen.
kran	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								NA
krananlage	(7E) angetriebene Hebehilfe, Lastenaufzug, Stapler	(7E)	angetriebene Hebehilfe, Lastenaufzug, Stapler								Abbruch und Demontage von Industrieanlagen, Industriegebäuden, Maschinen und Krananlagen sowie der Abtransport der anfallenden Schrotte mittels eigener Logistik und eigenem Fuhrpark gehören zu unserem Aufgabengebiet.
kranbahn	(7E) angetriebene Hebehilfe, Lastenaufzug, Stapler	(7E)	angetriebene Hebehilfe, Lastenaufzug, Stapler								Erfahrung im Umgang mit Kranbahnen
kräne	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								NA
kranfahrzeuge	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Das Produktspektrum umfasst Fahrzeugaufbauten und Anhänger für den Holztransport, Transport von Windkraftanlagen, Kranfahrzeugen und Hakenabrollkippern.
kranwagen	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Zu unserem Fuhrpark gehören unter anderem Stapler, Baumaschinen, Kranwagen, LKWs und Autos.
ladekrane-behälterwechselsystem	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Ladekrane-Behälterwechselsysteme, Pritschen und Kipper
mähdresch	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Mähdrescher, Häcksler und Schlepper fahren und bedienen
mähdrescher	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Führerschein für große Landmaschinen (Mähdrescher, Häcksler etc.) und umfassende Berufserfahrung im Führen von Häckslern/Mähdreschern sind zwingend erforderlich
mehrschalengreifer	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Materialverladung mit Umschlagbagger (Sortiergreifer, Mehrschalengreifer, etc.)
minibagger	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								NA
mini-bagger	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Erfahrung im Umgang mit Mini-Bagger sind zwingend erforderlich; Kenntnisse im Tiefbau und Kabelleitungsbau ( Verlegung Flachband ) sind wünschenswert.
mobil kran	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								NA
mobilbagger	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								NA
mobilbagger/raupenbagger	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Die Stelle erfordert Erfahrung im Umgang mit einem Mobilbagger/Raupenbagger im Kanalbau, Straßenbau und innerstädtischen Straßenbahnbau.
mobilholzhacker	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Idealerweise kommen Sie aus dem Berufszweig der Forstwirtschaft und haben Erfahrung im Umgang mit einem Mobilholzhacker.
mobilkran	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Mit unserem gut strukturierten Fuhrpark an modernen Mobilkranen, Hebebühnen und Transportfahrzeugen, sowie unserem Fachwissen stehen wir unseren Kunden gerne zur Verfügung.
motorgerät	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								NA
muldenfahrzeug	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Sie fahren mit Containerwagen, Abrollkippern und Muldenfahrzeugen.
muldenkipper	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								NA
nkw	(7C) LKW	(7C)	LKW								Instandsetzung von NKW, Auflieger und Zügen
nutzfahrzeug	(7C) LKW	(7C)	LKW								NA
nutzfahrzeuge	(7C) LKW	(7C)	LKW								Unterstützung des Werkstattmeisters bzw. - selbstständige Durchführung von: Servicedienstleistungen an PKW`s, Nutzfahrzeugen, LKW`s oder Gabelstaplern    Zur Verstärkung unseres Teams suchen wir Sie als Kfz-Mechatroniker/in Nutzfahrzeugtechnik bzw. mit einer vergleichbaren Ausbildung und gewonnener Erfahrung im Umgang mit Nutzfahrzeugen.
nutzkraftwagen	(7C) LKW	(7C)	LKW								Kraftfahrzeugmechatroniker/innen mit dem Schwerpunkt Nutzfahrzeugtechnik müssen sich in vor allem mit der Fahrzeugtechnik von Nutzkraftwagen mit gewerblicher Nutzung z.B.
obendrehkräne	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Erfahrung im Umgang mit Obendrehkränen wird vorausgesetzt
pneubagger	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								NA
presswagen	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Für unsere Kunden im Raum Gernsheim und Mannheim suchen wir mehrere Fahrer/innen für Presswagen und Abrollkipper.
radbagger	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Berufserfahrung im Bedienen von Radbaggern und Radladern erforderlich
rasentraktor	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Damit Sie an Motorsägen oder Motorsensen, Rasenmähern oder Rasentraktoren, Vertikutierern oder Gartenhäckslern und unserem gesamten sonstigen Sortiment viel Freude haben, stehen wir vor Ort mit der eigenen Werkstatt, Ersatzteilen und unserem ganzen Engagement zur Verfügung, um Ihre Gartengeräte in Schuss zu halten.
raupe	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								NA
raupen	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								NA
raupenbagger	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								NA
raupenfahrzeug	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Erfahrung im Führen von Bagger, Radlader und Raupenfahrzeugen
schmalspurtraktor	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								NA
selbstentladebulker	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Nach dem Einbruch des Containermarktes hat das Unternehmen seine Aktivitäten im Spezialschiffbau stark ausgebaut und ist in den Segmenten Offshore für Wind, Schwergut, Fähren und RoRo, Bagger sowie Selbstentladebulker tätig.
selbstlader	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge	automatische Schusswaffe??							Wünschenswert wären uns Erfahrungen im Umgang mit Wechselbrücken, Selbstladern und Silofahrzeugen.
straßenkehrmaschine	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Kenntnisse in Straßenkehrmaschinen sind von Vorteil.
telelader	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Die Kramer-Werke GmbH, ein Tochterunternehmen des WACKER NEUSON Konzerns, ist Hersteller von modernsten Radladern, Teleladern und Teleskopen.
traktor	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Unsere Firma wurde 1990 gegründet und gehört zu den weltweit größten Herstellern und Anbietern von Traktoren und Landmaschinen.    Service und Reparaturen von Traktoren, Landmaschinen und Kleingeräten.
umschlagbagger	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Sie haben Erfahrung im Umgang mit verschiedenen Arbeitsmaschinen (Radlader, Siebmaschinen, Stapler, Umschlagbagger, Zerkleinerer) sowie einen Führerschein der Klasse CE.
walze	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge	je nach dem??							NA
walzen	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								NA
abbruchbagger	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Erfahrungen im Umgang mit Baggern, Radladern, Planierraupen und Abbruchbagger (Longhard) und sind sicher in deren Bedienung
abrollerfahrzeugen	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Führen von LKW`s (Einsammlung und Transport von Abfällen mittel Pressfahrzeuge, Absetzkipper- und Abrollerfahrzeugen mit und
abrollmuld	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Erfahrung mit Absetzkipper und Abrollmulden wünschenswert
allrad-kipper	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Zum nächstmöglichen Zeitpunkt suchen wir eine/n Berufskraftfahrer/in für Tieflader, Sattelzüge und Allrad-Kipper mit und ohne Anhänger.
asphaltwalze	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Zur Verstärkung unserer Abteilung Straßen- und Autobahnbau suchen wir mehrere Baugeräteführer (m/w) für Mobil- und Kettenbagger, ATS-Grader, Planierraupe, Walzasphaltfertiger und Asphaltwalze.
betriebsfahrzeug	(7B) PKW, Taxi, Motorrad, Bus	(7B)	PKW, Taxi, Motorrad, Bus								Unternehmen im Garten- und Landschaftsbau in Berlin Tempelhof bietet zum nächstmöglichen Termin einen Arbeitsplatz als Mechaniker für die Reparatur und Instandhaltung der Betriebsfahrzeuge und Gartengeräte.
brückenkrahn	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Sie bedienen Stanzen, Pressen, die Abkantbank und Brückenkrähne
deckenkran	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Beförderung der Maschinenteile mit Gabelstapler und Deckenkran
entladekran	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Zur Unterstützung unseres Teams suchen wir einen Kraftfahrer/eine Kraftfahrerin mit Erfahrung im Umgang mit einem Entladekran.
erdbewegungsmaschine	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Seit über vierzehn Jahren ist unser Haus einer der führenden Anbieter von Reifen und Felgen für die Landwirtschaft im Raum Schleswig-Holstein... sei es für Ackerschlepper, landwirtschaftliche Anhänger, Erdbewegungsmaschinen oder Kommunaltraktoren, Neu- oder Umbereifung, Sonderlösungen wie andere Spurbreiten, Zwillingsbereifung, Pflegeräder, Wasserfüllung oder ausgeschäumte Reifen.
flurfahrzeuge	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Erfahrung im Umgang mit Flurfahrzeugen und im
flurförderzeuge	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Einen Staplerschein und Erfahrung im Umgang mit Flurförderzeugen ist gewünscht.  Aufgabe - Instandhaltung und Wartung von Staplern und Flurförderzeugen.
forstmaschine	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Erfahrung im Umgang mit Forstmaschinen und Baggern
gummikettenbagger	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Einsatz auf Mobilbagger und Gummikettenbagger verschiedenster Bauart
hecklader	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Berufserfahrung mit Presswagen und Hecklader
holzkranzug	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Wir suchen Berufskraftfahrer/in in Vollzeit für den nationalen Güterfernverkehr zum Führen von Holzkranzügen, Gliederzügen oder Sattelzügen für unser Unternehmen in Billigheim.  Führen von Holzkranzug, Gliederzug oder Sattelzug
industriekran	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Wir suchen einen/mehrere Servicetechniker/innen für die Reparatur und Instandhaltung von Hebezeugen und Industriekranen.
innenlader	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Instandsetzung von Nutzfahrzeugen insbesondere Sattelauflieger (Kipper, Innenlader und Tieflader).
kanalreinigungsfahrzeug	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Bedienung von Rohr- und Kanalreinigungsfahrzeugen  Hierfür suchen wir zur Verstärkung unseres Teams eine/n zuverlässige/n Kraftfahrer/in für Absetzkipper und Kanalreinigungsfahrzeug.
kehrwagen	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Fahren von LKW, Wasserwagen, Kehrwagen und Planierraupen
kesselwagen	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Für unseren Kunden in Hannover suchen wir Mechaniker mit Erfahrung in der Wartung und Reparatur von Schienenfahrzeugen und Kesselwagen.
kipper-fahrzeug	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Erfahrung im Umgang mit Kipper-Fahrzeugen ist von Vorteil.
kipper/sattelkipper	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								In unserem Unternehmen sind Sie Kraftfahrer/in für Sattelzugmaschinen (Kipper/Sattelkipper), Vierachser, Hängerzüge im Kipperbereich, Nahverkehr.
kipperfahrzeugen	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Das Aufgabengebiet umfasst den Nah- und Fernverkehr mit Kran- und Kipperfahrzeugen.
kippern	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Sie besitzen Erfahrung und mehrjährige Praxis im Umgang mit Containerfahrzeugen(Intermodalverkehre), Silozügen, Planenzug-Fahrzeugen oder Kippern bzw. mit 40 t-Fahrzeugkombinationen.
kommunaltraktor	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Seit über vierzehn Jahren ist unser Haus einer der führenden Anbieter von Reifen und Felgen für die Landwirtschaft im Raum Schleswig-Holstein... sei es für Ackerschlepper, landwirtschaftliche Anhänger, Erdbewegungsmaschinen oder Kommunaltraktoren, Neu- oder Umbereifung, Sonderlösungen wie andere Spurbreiten, Zwillingsbereifung, Pflegeräder, Wasserfüllung oder ausgeschäumte Reifen.
kranlanlage	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Instanthaltungsarbeiten an Hebezeugen und Kranlanlagen aller Art.
ladekipper	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Zu Ihrem Aufgabengebiet gehören der Containertransport sowie die Bedienung von Containerfahrzeugen, speziell vom Typ Absetzkipper und Ladekipper.  Erfahrung im Umgang mit Absetzkipper und Ladekipper ist von Vorteil
lkw-ladearm	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Wichtig ist, dass Sie Grundkenntnisse im Bereich Bagger, Minibagger und Lkw-Ladearm besitzen.
lkw-ladekran	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Baustofftransporte (Erfahrungen mit LKW-Ladekran und Mitnahmestapler sind zwingend erforderlich)
luftförderanlage	(7D) Baufahrzeuge/ Landwirtschaftsfahrzeuge	(7D)	Baufahrzeuge/ Landwirtschaftsfahrzeuge								Muldenkipper und Luftförderanlagen
